t,var,len_analytical_edge_states,Wtotal,figure_id,left_edge_indicator,right_edge_indicator
-1.5,0.5354430379746835,0,0,48,-1.2212453270876648e-14,4.884981308350677e-15
-1.5,0.5468354430379747,0,0,49,-1.0880185641326474e-14,4.218847493575586e-15
-1.5,0.5582278481012658,0,0,50,-1.1546319456101562e-14,3.996802888650556e-15
-1.5,0.569620253164557,0,0,51,-4.884981308350677e-15,4.6629367034256464e-15
-1.5,0.5810126582278481,0,0,52,-8.881784197001213e-15,4.6629367034256464e-15
-1.5,0.5924050632911393,0,0,53,-1.443289932012693e-14,4.218847493575586e-15
-1.5,0.6037974683544304,0,0,54,-2.2204460492503107e-15,3.1086244689504336e-15
-1.5,0.6151898734177215,0,0,55,-1.465494392505196e-14,4.6629367034256464e-15
-1.5,0.6265822784810127,0,0,56,-2.4424906541753412e-15,4.218847493575586e-15
-1.5,0.6379746835443038,0,0,57,-1.3544720900426818e-14,3.5527136788004946e-15
-1.5,0.649367088607595,0,0,58,-3.996802888650556e-15,8.659739592076183e-15
-1.5,0.660759493670886,0,0,59,-2.2204460492503107e-15,4.884981308350677e-15
-1.5,0.6721518987341772,0,0,60,-3.774758283725525e-15,7.993605777301096e-15
-1.5,0.6835443037974683,0,0,61,-5.995204332975827e-15,4.6629367034256464e-15
-1.5,0.6949367088607595,0,0,62,-3.330669073875464e-15,9.76996261670133e-15
-1.5,0.7063291139240506,0,0,63,-6.661338147750917e-15,3.1086244689504336e-15
-1.5,0.7177215189873418,0,0,64,-2.2204460492503107e-15,8.437694987151153e-15
-1.5,0.7291139240506329,0,0,65,-6.883382752675947e-15,4.6629367034256464e-15
-1.5,0.740506329113924,0,0,66,-9.76996261670133e-15,7.549516567451036e-15
-1.5,0.7518987341772152,0,0,67,-5.995204332975827e-15,5.995204332975827e-15
-1.5,0.7632911392405063,0,0,68,0.0,7.327471962526006e-15
-1.5,0.7746835443037975,0,0,69,0.0,3.5527136788004946e-15
-1.5,0.7860759493670886,0,0,70,0.0,2.8865798640254027e-15
-1.5,0.7974683544303798,0,0,71,0.0,1.0436096431476416e-14
-1.5,0.8088607594936709,0,0,72,0.0,2.8865798640254027e-15
-1.5,0.8202531645569621,0,0,73,0.0,7.993605777301096e-15
-1.5,0.8316455696202532,0,0,74,0.0,3.1086244689504336e-15
-1.5,0.8430379746835444,0,0,75,0.0,8.215650382226125e-15
-1.5,0.8544303797468354,0,0,76,0.0,3.1086244689504336e-15
-1.5,0.8658227848101265,0,0,77,0.0,2.8865798640254027e-15
-1.5,0.8772151898734177,0,0,78,0.0,5.995204332975827e-15
-1.5,0.8886075949367088,0,0,79,0.0,2.4424906541753412e-15
-1.5,0.9,0,0,80,0.0,5.107025913275707e-15
-1.4620253164556962,0.0,1,1,81,-1.9984014443252798e-15,0.9325303245017987
-1.4620253164556962,0.01139240506329114,1,1,82,-5.107025913275707e-15,0.9060417570847755
-1.4620253164556962,0.02278481012658228,1,1,83,-3.774758283725525e-15,0.8786227202948858
-1.4620253164556962,0.03417721518987342,1,1,84,-3.996802888650556e-15,0.8502587035145112
-1.4620253164556962,0.04556962025316456,1,1,85,-6.661338147750917e-15,0.8209380266470632
-1.4620253164556962,0.056962025316455694,1,1,86,-3.330669073875464e-15,0.7906522392452501
-1.4620253164556962,0.06835443037974684,1,1,87,-4.884981308350677e-15,0.7593965203938744
-1.4620253164556962,0.07974683544303797,1,1,88,-4.884981308350677e-15,0.7271700703811951
-1.4620253164556962,0.09113924050632911,1,1,89,-2.2204460492503107e-15,0.6939764843386137
