t,var,len_analytical_edge_states,Wtotal,figure_id,left_edge_indicator,right_edge_indicator
-1.4620253164556962,0.3531645569620253,0,0,112,-0.034691691707879085,0.02641444441504571
-1.4620253164556962,0.36455696202531646,0,0,113,-0.03664854272860501,0.03639957447114466
-1.4620253164556962,0.3759493670886076,0,0,114,-0.03793765972576524,0.0585746480287717
-1.4620253164556962,0.38734177215189874,0,0,115,-0.03957864228243352,0.0706929838916698
-1.4620253164556962,0.3987341772151899,0,0,116,-0.03976393982501676,0.06763826843897879
-1.4620253164556962,0.41012658227848103,0,0,117,-0.03947411762394705,0.05279323049397407
-1.4620253164556962,0.4215189873417722,0,0,118,-0.04095257492953063,0.04413184764592477
-1.4620253164556962,0.43291139240506327,0,0,119,-0.04031061626207817,0.04561710027263964
-1.4620253164556962,0.4443037974683544,0,0,120,-0.03940769679772271,0.047142145275025
-1.4620253164556962,0.45569620253164556,0,0,121,-0.04061465608516001,0.04873659088565538
-1.4620253164556962,0.4670886075949367,0,0,122,-0.03890299183831396,0.05049244855254975
-1.4620253164556962,0.47848101265822784,0,0,123,-0.03642286078771908,0.052838697772144484
-1.4620253164556962,0.489873417721519,0,0,124,-0.03655684205490396,0.055365030077049605
-1.4620253164556962,0.5012658227848101,0,0,125,-0.04203236774931832,0.057963422238946204
-1.4620253164556962,0.5126582278481012,0,0,126,-0.05327185934499767,0.06037227212600163
-1.4620253164556962,0.5240506329113924,0,0,127,-0.04012329053350693,0.06210971392901503
-1.4620253164556962,0.5354430379746835,0,0,128,-0.04100747906643711,0.0627391451554177
-1.4620253164556962,0.5468354430379747,0,0,129,-0.04571138169617492,0.0635638485338789
-1.4620253164556962,0.5582278481012658,0,0,130,-0.058967497557647526,0.06309883635818431
-1.4620253164556962,0.569620253164557,0,0,131,-0.048279354744903816,0.06182197569869138
-1.4620253164556962,0.5810126582278481,0,0,132,-0.03793184222451969,0.060778504511257735
-1.4620253164556962,0.5924050632911393,0,0,133,-0.03155116987556463,0.061113375335346234
-1.4620253164556962,0.6037974683544304,0,0,134,-0.02739377057377494,0.06358963288329283
-1.4620253164556962,0.6151898734177215,0,0,135,-0.024232796508229248,0.06927002959942424
-1.4620253164556962,0.6265822784810127,0,0,136,-0.02189791203123931,0.08194885644981521
-1.4620253164556962,0.6379746835443038,0,0,137,-0.020153822716385474,0.07886007723801598
-1.4620253164556962,0.649367088607595,0,0,138,-0.018785072755474967,0.06516763593691538
-1.4620253164556962,0.660759493670886,0,0,139,-0.017569989511882583,0.054885991776906215
-1.4620253164556962,0.6721518987341772,0,0,140,-0.016371301079636053,0.04772940265774772
-1.4620253164556962,0.6835443037974683,0,0,141,-0.015064919914551504,0.04254768249641783
-1.4620253164556962,0.6949367088607595,0,0,142,-0.01360196963795529,0.038591207356550625
-1.4620253164556962,0.7063291139240506,0,0,143,-0.012006912045990888,0.035383756257083336
-1.4620253164556962,0.7177215189873418,0,0,144,-0.010560975256626175,0.03264037454994965
-1.4620253164556962,0.7291139240506329,0,0,145,-0.009182896727380612,0.03040038157779604
-1.4620253164556962,0.740506329113924,0,0,146,-0.007974896556692415,0.0283528923834556
-1.4620253164556962,0.7518987341772152,0,0,147,-0.006936926266156168,0.026409553341760955
-1.4620253164556962,0.7632911392405063,0,0,148,0.00012900913129298047,0.024699510419252394
-1.4620253164556962,0.7746835443037975,0,0,149,7.437076500314079e-05,0.023030849729667013
-1.4620253164556962,0.7860759493670886,0,0,150,4.7525910413970594e-05,0.02139537283121833
-1.4620253164556962,0.7974683544303798,0,0,151,9.942636783728716e-06,0.019863763353760458
-1.4620253164556962,0.8088607594936709,0,0,152,3.2878701363291625e-06,0.018297253621633983
-1.4620253164556962,0.8202531645569621,0,0,153,1.782586694485144e-05,0.016793143219767468
-1.4620253164556962,0.8316455696202532,0,0,154,2.811614800880095e-05,0.015265217699184814
-1.4620253164556962,0.8430379746835444,0,0,155,2.003715747524544e-05,0.013768606582720978
-1.4620253164556962,0.8544303797468354,0,0,156,9.523012413894184e-06,0.012260455028611842
-1.4620253164556962,0.8658227848101265,0,0,157,1.2673396314766995e-05,0.010806319122886996
-1.4620253164556962,0.8772151898734177,0,0,158,1.605288813407764e-05,0.009392803380243923
-1.4620253164556962,0.8886075949367088,0,0,159,2.72330837429972e-05,0.008047199580427473
-1.4620253164556962,0.9,0,0,160,8.592937669353217e-05,0.006794181165778633
-1.4240506329113924,0.0,1,1,161,-1.0508420333606237,0.1028687082720936
-1.4240506329113924,0.01139240506329114,1,1,162,-1.0209202104999833,0.09705139371187618
-1.4240506329113924,0.02278481012658228,1,1,163,-0.989737856786691,0.09341030402662319
-1.4240506329113924,0.03417721518987342,1,1,164,-0.9573097954759822,0.08982034182240224
-1.4240506329113924,0.04556962025316456,1,1,165,-0.9236664806409598,0.08580001855599173
-1.4240506329113924,0.056962025316455694,1,1,166,-0.8888537136726573,0.08156213582927563
-1.4240506329113924,0.06835443037974684,1,1,167,-0.852931424545636,0.07726229520507778
